Budget (in dollars),Age,Gender,Education_Level,With children?,Recommended_Activity
1617.0,63.0,Non-binary,Master’s Degree,0,Explore: Visit a park
109.0,21.0,Transgender,NA,1,Play: Visit a movie theater
86.0,20.0,Female,NA,1,Play: Go shopping
3799.0,42.0,NA,Bachelor’s Degree,0,Learn: Visit a library
3727.0,75.0,Male,Bachelor’s Degree,1,Play: Go shopping
532.0,70.0,Female,Master’s Degree,1,Learn: Visit a library
1899.0,29.0,Non-binary,Master’s Degree,0,Play: Go shopping
287.0,19.0,Transgender,NA,0,Play: Go shopping
294.0,21.0,Female,Did Not Graduate HS,1,Play: Visit a movie theater
194.0,19.0,Transgender,Other,1,Play: Visit a movie theater
110.0,19.0,NA,High School Grad,NA,Play: Go shopping
3604.0,35.0,NA,Master’s Degree,0,Learn: Visit a library
181.0,18.0,Female,Did Not Graduate HS,1,Play: Go shopping
174.0,25.0,Transgender,High School Grad,NA,Stay in: Watch calming TV
77.0,23.0,Non-binary,NA,NA,Play: Visit a movie theater
135.0,22.0,Male,Did Not Graduate HS,0,Play: Go shopping
7.0,18.0,Male,Did Not Graduate HS,0,Play: Visit a movie theater
90.0,20.0,Other,Did Not Graduate HS,1,Play: Visit a movie theater
2322.0,40.0,Female,Master’s Degree,1,Play: Go shopping
76.0,21.0,Non-binary,Did Not Graduate HS,0,Play: Visit a movie theater
182.0,20.0,Male,Did Not Graduate HS,NA,Play: Go shopping
179.0,23.0,NA,High School Grad,NA,Play: Visit a movie theater
117.0,19.0,Other,NA,0,Play: Go shopping
2681.0,50.0,NA,Bachelor’s Degree,NA,Learn: Visit a library
86.0,21.0,Non-binary,NA,0,Play: Visit a movie theater
160.0,18.0,Male,High School Grad,NA,Play: Visit a movie theater
1822.0,71.0,Male,Bachelor’s Degree,1,Explore: Go sightseeing
3142.0,32.0,Transgender,Bachelor’s Degree,1,Explore: Visit a park
233.0,18.0,Non-binary,Other,1,Play: Go shopping
2777.0,43.0,Male,Master’s Degree,0,Stay in: Color
4834.0,28.0,Female,Bachelor’s Degree,1,Play: Visit a movie theater
1946.0,29.0,Non-binary,Bachelor’s Degree,0,Explore: Hike
257.0,23.0,NA,Other,0,Play: Go shopping
2273.0,58.0,Transgender,Master’s Degree,0,Stay in: Color
293.0,19.0,Non-binary,Other,1,Play: Visit a movie theater
3653.0,38.0,Transgender,Master’s Degree,NA,Stay in: Color
1599.0,33.0,Transgender,Bachelor’s Degree,NA,Learn: Visit a library
204.0,23.0,Non-binary,Other,NA,Play: Visit a movie theater
2927.0,35.0,Other,Bachelor’s Degree,NA,Stay in: Watch calming TV
4347.0,38.0,Other,Bachelor’s Degree,NA,Stay in: Watch calming TV
257.0,18.0,Other,Did Not Graduate HS,NA,Play: Go shopping
281.0,18.0,Female,NA,1,Play: Go shopping
3015.0,84.0,Male,Master’s Degree,NA,Stay in: Play a game
51.0,23.0,NA,High School Grad,NA,Play: Visit a movie theater
3872.0,40.0,Non-binary,Bachelor’s Degree,0,Stay in: Watch calming TV
218.0,19.0,Male,Did Not Graduate HS,1,Play: Visit a movie theater
103.0,18.0,Male,NA,0,Play: Go shopping
107.0,19.0,Non-binary,High School Grad,NA,Play: Go shopping
4221.0,50.0,Female,Bachelor’s Degree,1,Explore: Visit a park
1827.0,47.0,NA,Master’s Degree,NA,Stay in: Watch calming TV
10.0,19.0,Transgender,Other,NA,Play: Go shopping
156.0,23.0,Other,NA,NA,Play: Visit a movie theater
240.0,20.0,Female,High School Grad,1,Play: Visit a movie theater
262.0,19.0,Female,Other,1,Play: Go shopping
99.0,20.0,Female,NA,1,Play: Visit a movie theater
45.0,22.0,Non-binary,Other,1,Play: Go shopping
506.0,64.0,Female,Bachelor’s Degree,1,Stay in: Watch calming TV
161.0,19.0,NA,Other,1,Play: Visit a movie theater
62.0,30.0,Non-binary,Other,1,Learn: Visit a library
710.0,46.0,Non-binary,Bachelor’s Degree,NA,Explore: Go sightseeing
2372.0,50.0,Female,Bachelor’s Degree,1,Stay in: Play a game
111.0,20.0,NA,High School Grad,1,Play: Go shopping
250.0,19.0,Other,NA,0,Play: Visit a movie theater
3227.0,42.0,Other,Bachelor’s Degree,NA,Explore: Visit a park
3333.0,81.0,Male,Master’s Degree,1,Play: Go shopping
259.0,20.0,Non-binary,Other,0,Play: Go shopping
296.0,19.0,Non-binary,NA,NA,Play: Visit a movie theater
3943.0,37.0,Female,Master’s Degree,1,Stay in: Watch calming TV
39.0,23.0,Male,NA,0,Play: Visit a movie theater
4325.0,40.0,Transgender,Master’s Degree,NA,Explore: Hike
256.0,18.0,Male,High School Grad,1,Play: Go shopping
3300.0,42.0,Other,Bachelor’s Degree,NA,Stay in: Color
37.0,19.0,Male,Other,1,Play: Visit a movie theater
526.0,41.0,Transgender,Master’s Degree,NA,Play: Visit a movie theater
185.0,20.0,NA,NA,1,Play: Go shopping
1469.0,27.0,Transgender,Master’s Degree,NA,Play: Go shopping
265.0,20.0,Female,NA,1,Play: Visit a movie theater
297.0,18.0,Non-binary,Other,NA,Play: Visit a movie theater
3698.0,34.0,Other,Master’s Degree,NA,Stay in: Color
2934.0,49.0,Non-binary,Bachelor’s Degree,1,Stay in: Watch calming TV
3069.0,34.0,Male,Bachelor’s Degree,0,Learn: Visit a library
2378.0,33.0,Female,Bachelor’s Degree,1,Play: Go shopping
187.0,18.0,Non-binary,Did Not Graduate HS,1,Play: Visit a movie theater
178.0,19.0,Male,NA,NA,Play: Go shopping
218.0,18.0,Other,Did Not Graduate HS,NA,Play: Visit a movie theater
180.0,18.0,Male,NA,0,Play: Go shopping
112.0,21.0,Other,Other,NA,Play: Visit a movie theater
4969.0,27.0,NA,Master’s Degree,1,Stay in: Watch calming TV
34.0,21.0,NA,High School Grad,0,Play: Visit a movie theater
291.0,19.0,Female,Other,1,Play: Go shopping
21.0,21.0,NA,High School Grad,1,Play: Visit a movie theater
1852.0,29.0,Other,Bachelor’s Degree,0,Explore: Visit a park
4638.0,26.0,Female,Bachelor’s Degree,1,Play: Go shopping
422.0,32.0,Non-binary,Master’s Degree,0,Learn: Visit a library
3381.0,53.0,NA,Bachelor’s Degree,0,Play: Visit a movie theater
280.0,18.0,Female,NA,1,Play: Visit a movie theater
2326.0,26.0,Non-binary,Bachelor’s Degree,1,Play: Go shopping
196.0,21.0,Non-binary,High School Grad,1,Play: Go shopping
65.0,19.0,Other,High School Grad,0,Play: Visit a movie theater
147.0,18.0,Female,NA,1,Play: Go shopping
671.0,72.0,Transgender,Master’s Degree,0,Stay in: Color
272.0,22.0,Transgender,Did Not Graduate HS,NA,Play: Go shopping
100.0,21.0,Transgender,Other,0,Play: Go shopping
1702.0,49.0,Female,Master’s Degree,NA,Stay in: Color
2467.0,49.0,Male,Bachelor’s Degree,1,Explore: Hike
216.0,18.0,Male,Other,NA,Play: Visit a movie theater
4904.0,34.0,Male,Master’s Degree,1,Stay in: Color
106.0,20.0,Male,High School Grad,NA,Play: Go shopping
1504.0,42.0,Male,Master’s Degree,0,Explore: Hike
3922.0,79.0,NA,Master’s Degree,1,Play: Go shopping
4976.0,88.0,Female,Bachelor’s Degree,1,Play: Visit a movie theater
490.0,40.0,Male,Bachelor’s Degree,0,Play: Go shopping
2236.0,61.0,NA,Bachelor’s Degree,NA,Explore: Visit a park
109.0,22.0,Non-binary,Other,NA,Play: Go shopping
275.0,18.0,NA,High School Grad,1,Play: Go shopping
111.0,19.0,NA,NA,1,Play: Visit a movie theater
201.0,18.0,Other,Other,1,Play: Visit a movie theater
241.0,23.0,Male,Other,NA,Play: Go shopping
3586.0,37.0,Other,Master’s Degree,NA,Learn: Visit a library
278.0,21.0,Female,High School Grad,1,Play: Go shopping
258.0,22.0,Male,NA,1,Play: Go shopping
2134.0,31.0,Other,Master’s Degree,0,Learn: Visit a library
277.0,20.0,Other,High School Grad,NA,Play: Visit a movie theater
23.0,22.0,NA,Other,NA,Play: Go shopping
4099.0,38.0,Other,Master’s Degree,0,Stay in: Watch calming TV
85.0,23.0,Transgender,Did Not Graduate HS,0,Play: Go shopping
234.0,21.0,NA,Other,1,Play: Go shopping
179.0,21.0,Female,High School Grad,1,Play: Visit a movie theater
4.0,22.0,Transgender,High School Grad,NA,Play: Go shopping
240.0,18.0,Female,Did Not Graduate HS,1,Play: Visit a movie theater
293.0,20.0,Female,NA,1,Play: Go shopping
108.0,20.0,Transgender,High School Grad,1,Play: Go shopping
4995.0,69.0,Female,Bachelor’s Degree,1,Explore: Go sightseeing
31.0,19.0,Male,Other,NA,Play: Go shopping
278.0,21.0,Female,Other,1,Play: Go shopping
165.0,22.0,NA,High School Grad,1,Play: Visit a movie theater
248.0,20.0,Female,NA,1,Play: Visit a movie theater
156.0,19.0,NA,Other,1,Play: Go shopping
2171.0,46.0,Transgender,Master’s Degree,0,Stay in: Play a game
8.0,20.0,Female,NA,1,Play: Go shopping
242.0,19.0,Other,Other,0,Play: Go shopping
289.0,20.0,NA,Other,0,Play: Visit a movie theater
55.0,20.0,Male,Other,0,Play: Visit a movie theater
11.0,20.0,Transgender,Other,NA,Play: Go shopping
2811.0,36.0,Female,Bachelor’s Degree,1,Play: Go shopping
154.0,18.0,Transgender,Other,1,Play: Go shopping
294.0,21.0,Other,Did Not Graduate HS,1,Play: Visit a movie theater
235.0,23.0,Non-binary,Other,NA,Play: Go shopping
244.0,21.0,Other,High School Grad,1,Play: Go shopping
4059.0,64.0,Other,Bachelor’s Degree,1,Stay in: Color
245.0,23.0,NA,Other,NA,Play: Go shopping
4045.0,64.0,Non-binary,Bachelor’s Degree,NA,Stay in: Play a game
120.0,20.0,Transgender,Other,1,Play: Visit a movie theater
286.0,23.0,Non-binary,Did Not Graduate HS,NA,Play: Go shopping
2.0,20.0,NA,Did Not Graduate HS,NA,Play: Visit a movie theater
1422.0,38.0,Other,Bachelor’s Degree,NA,Play: Go shopping
253.0,19.0,Non-binary,Other,NA,Play: Visit a movie theater
197.0,21.0,Other,Did Not Graduate HS,0,Play: Visit a movie theater
3746.0,26.0,Female,Master’s Degree,1,Play: Go shopping
137.0,18.0,Other,Other,0,Play: Go shopping
63.0,23.0,Female,High School Grad,1,Play: Visit a movie theater
116.0,19.0,Female,Did Not Graduate HS,1,Play: Visit a movie theater
203.0,22.0,NA,Did Not Graduate HS,1,Play: Go shopping
242.0,23.0,Transgender,NA,NA,Play: Go shopping
270.0,22.0,Female,High School Grad,1,Play: Visit a movie theater
793.0,34.0,Female,Master’s Degree,1,Stay in: Watch calming TV
4422.0,46.0,Male,Bachelor’s Degree,0,Explore: Go sightseeing
4677.0,82.0,Transgender,Master’s Degree,1,Explore: Hike
2117.0,33.0,NA,Master’s Degree,0,Explore: Go sightseeing
41.0,19.0,Transgender,NA,1,Play: Visit a movie theater
276.0,22.0,NA,Other,NA,Play: Visit a movie theater
128.0,22.0,Other,High School Grad,1,Play: Go shopping
2242.0,25.0,Female,Bachelor’s Degree,1,Explore: Hike
175.0,19.0,Male,NA,1,Play: Go shopping
2187.0,27.0,NA,Bachelor’s Degree,NA,Stay in: Watch calming TV
127.0,18.0,Male,NA,0,Play: Visit a movie theater
4392.0,48.0,Transgender,Master’s Degree,0,Stay in: Color
4090.0,26.0,Transgender,Bachelor’s Degree,1,Explore: Hike
129.0,19.0,NA,High School Grad,NA,Play: Visit a movie theater
1889.0,25.0,Transgender,Master’s Degree,NA,Learn: Visit a library
1594.0,39.0,Non-binary,Bachelor’s Degree,NA,Play: Visit a movie theater
2440.0,33.0,Male,Bachelor’s Degree,NA,Play: Go shopping
4060.0,32.0,Male,Master’s Degree,1,Stay in: Watch calming TV
1307.0,70.0,Female,Bachelor’s Degree,NA,Play: Go shopping
1087.0,26.0,Male,Master’s Degree,0,Stay in: Play a game
3456.0,26.0,Transgender,Master’s Degree,1,Explore: Go sightseeing
298.0,23.0,Non-binary,Did Not Graduate HS,NA,Play: Visit a movie theater
66.0,19.0,Other,NA,NA,Play: Go shopping
379.0,89.0,Male,Master’s Degree,NA,Stay in: Color
241.0,20.0,Male,Other,1,Play: Go shopping
132.0,22.0,NA,Did Not Graduate HS,0,Play: Go shopping
295.0,19.0,Male,High School Grad,NA,Play: Visit a movie theater
510.0,26.0,Non-binary,Bachelor’s Degree,1,Stay in: Play a game
2248.0,30.0,Female,Bachelor’s Degree,1,Stay in: Watch calming TV
197.0,21.0,Transgender,Other,0,Play: Visit a movie theater
192.0,22.0,Transgender,NA,NA,Play: Go shopping
465.0,38.0,Male,Master’s Degree,1,Stay in: Watch calming TV
9.0,21.0,Other,NA,1,Play: Go shopping
170.0,22.0,Male,Did Not Graduate HS,1,Play: Visit a movie theater
6.0,20.0,Transgender,Other,0,Play: Go shopping
2274.0,34.0,Male,Master’s Degree,0,Explore: Go sightseeing
4232.0,42.0,Other,Bachelor’s Degree,0,Explore: Go sightseeing
4902.0,36.0,Transgender,Bachelor’s Degree,1,Explore: Hike
130.0,23.0,Transgender,NA,NA,Play: Go shopping
79.0,21.0,Transgender,NA,1,Play: Go shopping
743.0,53.0,Male,Master’s Degree,1,Explore: Go sightseeing
3147.0,30.0,Other,Master’s Degree,1,Stay in: Color
2233.0,79.0,Transgender,Bachelor’s Degree,1,Play: Go shopping
1880.0,27.0,Female,Bachelor’s Degree,1,Stay in: Color
4932.0,27.0,NA,Master’s Degree,0,Stay in: Watch calming TV
283.0,46.0,Male,NA,1,Stay in: Color
4942.0,82.0,Non-binary,Bachelor’s Degree,NA,Learn: Visit a library
143.0,19.0,NA,Other,NA,Play: Visit a movie theater
2662.0,29.0,Transgender,Bachelor’s Degree,NA,Stay in: Play a game
4026.0,36.0,Male,Bachelor’s Degree,1,Stay in: Watch calming TV
20.0,23.0,NA,NA,0,Play: Visit a movie theater
1168.0,42.0,Other,Bachelor’s Degree,NA,Explore: Go sightseeing
4849.0,48.0,Male,Master’s Degree,0,Explore: Go sightseeing
268.0,22.0,Male,Other,NA,Play: Go shopping
88.0,22.0,Female,Did Not Graduate HS,1,Play: Go shopping
64.0,18.0,NA,NA,0,Play: Go shopping
106.0,21.0,Non-binary,Other,0,Play: Go shopping
195.0,21.0,Female,Did Not Graduate HS,1,Play: Visit a movie theater
3189.0,46.0,NA,Bachelor’s Degree,1,Play: Visit a movie theater
235.0,18.0,Other,Did Not Graduate HS,0,Play: Visit a movie theater
294.0,23.0,Transgender,Did Not Graduate HS,1,Play: Visit a movie theater
146.0,19.0,Female,NA,1,Play: Go shopping
122.0,18.0,Male,Did Not Graduate HS,1,Play: Visit a movie theater
31.0,20.0,Male,NA,1,Play: Visit a movie theater
280.0,22.0,Non-binary,Other,1,Play: Go shopping
201.0,21.0,NA,NA,NA,Play: Go shopping
2.0,22.0,Non-binary,Other,NA,Play: Visit a movie theater
2341.0,30.0,Female,Bachelor’s Degree,1,Stay in: Watch calming TV
2597.0,47.0,Female,Bachelor’s Degree,1,Play: Go shopping
275.0,22.0,Non-binary,Other,NA,Play: Go shopping
48.0,20.0,Non-binary,Did Not Graduate HS,0,Play: Visit a movie theater
3412.0,56.0,Transgender,Master’s Degree,NA,Explore: Visit a park
103.0,23.0,Non-binary,Other,NA,Play: Go shopping
63.0,21.0,NA,Did Not Graduate HS,0,Play: Go shopping
212.0,19.0,Transgender,High School Grad,1,Play: Go shopping
159.0,23.0,Other,Did Not Graduate HS,NA,Play: Go shopping
3240.0,31.0,NA,Master’s Degree,1,Play: Go shopping
275.0,22.0,Female,NA,1,Play: Go shopping
96.0,23.0,Female,NA,1,Play: Visit a movie theater
160.0,23.0,NA,Did Not Graduate HS,NA,Play: Go shopping
4154.0,37.0,NA,Bachelor’s Degree,1,Explore: Hike
4578.0,25.0,Other,Master’s Degree,1,Explore: Visit a park
244.0,19.0,Other,Other,1,Play: Go shopping
242.0,19.0,Male,NA,NA,Play: Visit a movie theater
117.0,21.0,Other,High School Grad,0,Play: Visit a movie theater
4045.0,42.0,Transgender,Master’s Degree,0,Explore: Go sightseeing
229.0,19.0,Female,Did Not Graduate HS,1,Play: Go shopping
106.0,21.0,Other,NA,NA,Play: Go shopping
78.0,23.0,Male,Other,NA,Play: Go shopping
2.0,21.0,Male,Other,0,Play: Go shopping
217.0,21.0,Transgender,NA,0,Play: Visit a movie theater
48.0,21.0,Other,Did Not Graduate HS,0,Play: Visit a movie theater
2708.0,27.0,NA,Bachelor’s Degree,NA,Explore: Visit a park
3576.0,52.0,Female,Bachelor’s Degree,1,Explore: Hike
2519.0,39.0,Non-binary,Master’s Degree,1,Stay in: Watch calming TV
4485.0,34.0,Other,Bachelor’s Degree,NA,Stay in: Watch calming TV
3245.0,49.0,Male,Bachelor’s Degree,1,Learn: Visit a library
235.0,18.0,Transgender,Did Not Graduate HS,0,Play: Go shopping
113.0,20.0,Female,Did Not Graduate HS,1,Play: Go shopping
295.0,23.0,Non-binary,Other,1,Play: Go shopping
91.0,21.0,Female,Did Not Graduate HS,1,Play: Go shopping
49.0,18.0,Transgender,Other,NA,Play: Visit a movie theater
2448.0,28.0,Male,Bachelor’s Degree,NA,Explore: Hike
221.0,22.0,Non-binary,Other,NA,Play: Go shopping
71.0,22.0,Other,Did Not Graduate HS,1,Play: Visit a movie theater
95.0,22.0,Male,High School Grad,0,Play: Visit a movie theater
246.0,19.0,Transgender,NA,1,Play: Visit a movie theater
2966.0,42.0,Transgender,Master’s Degree,1,Explore: Go sightseeing
211.0,23.0,Female,Other,1,Play: Visit a movie theater
710.0,27.0,Other,Bachelor’s Degree,1,Explore: Go sightseeing
75.0,20.0,Transgender,High School Grad,NA,Play: Go shopping
2986.0,27.0,Male,Master’s Degree,NA,Play: Visit a movie theater
3330.0,53.0,Other,Master’s Degree,NA,Learn: Visit a library
297.0,22.0,Male,NA,1,Play: Visit a movie theater
1707.0,51.0,Transgender,Bachelor’s Degree,1,Learn: Visit a library
31.0,23.0,Other,Other,0,Play: Go shopping
207.0,19.0,Other,NA,1,Play: Visit a movie theater
179.0,18.0,Non-binary,NA,0,Play: Visit a movie theater
143.0,20.0,Male,Other,0,Play: Visit a movie theater
130.0,19.0,Female,NA,1,Play: Go shopping
113.0,23.0,Other,Other,0,Play: Go shopping
3989.0,27.0,Non-binary,Bachelor’s Degree,1,Explore: Visit a park
252.0,23.0,Transgender,NA,0,Play: Go shopping
607.0,28.0,NA,Bachelor’s Degree,1,Play: Visit a movie theater
49.0,20.0,Non-binary,High School Grad,1,Play: Visit a movie theater
153.0,20.0,Non-binary,Other,1,Play: Visit a movie theater
73.0,18.0,Other,High School Grad,0,Play: Go shopping
122.0,23.0,Other,NA,1,Play: Visit a movie theater
4813.0,37.0,Transgender,Bachelor’s Degree,NA,Stay in: Color
134.0,20.0,Other,NA,NA,Play: Visit a movie theater
297.0,21.0,Non-binary,NA,0,Play: Go shopping
4426.0,57.0,Other,Master’s Degree,NA,Explore: Visit a park
293.0,20.0,NA,Other,1,Play: Go shopping
95.0,19.0,NA,NA,NA,Play: Visit a movie theater
290.0,23.0,Female,High School Grad,1,Play: Visit a movie theater
236.0,18.0,Male,High School Grad,1,Play: Go shopping
279.0,23.0,Transgender,Other,1,Play: Visit a movie theater
298.0,23.0,NA,NA,NA,Play: Go shopping
1218.0,41.0,Other,Bachelor’s Degree,1,Stay in: Play a game
590.0,28.0,NA,Bachelor’s Degree,1,Learn: Visit a library
147.0,18.0,Other,Did Not Graduate HS,NA,Play: Visit a movie theater
3737.0,26.0,NA,Bachelor’s Degree,NA,Explore: Hike
247.0,19.0,Male,High School Grad,1,Play: Go shopping
2157.0,42.0,Transgender,Master’s Degree,0,Explore: Go sightseeing
21.0,20.0,Other,Bachelor’s Degree,NA,Play: Go shopping
1190.0,43.0,Other,Master’s Degree,NA,Learn: Visit a library
3361.0,39.0,Transgender,Master’s Degree,NA,Play: Go shopping
3013.0,58.0,Female,Master’s Degree,1,Learn: Visit a library
283.0,23.0,Transgender,Did Not Graduate HS,NA,Play: Visit a movie theater
65.0,22.0,NA,Other,NA,Play: Go shopping
19.0,19.0,Transgender,Did Not Graduate HS,1,Play: Go shopping
3656.0,37.0,Transgender,Master’s Degree,NA,Play: Visit a movie theater
136.0,19.0,Non-binary,Other,1,Play: Go shopping
226.0,19.0,Transgender,NA,NA,Play: Visit a movie theater
2329.0,29.0,NA,Bachelor’s Degree,1,Explore: Visit a park
4949.0,27.0,Female,Master’s Degree,1,Learn: Visit a library
174.0,20.0,Female,NA,1,Play: Visit a movie theater
4494.0,40.0,Male,Bachelor’s Degree,NA,Explore: Hike
3849.0,56.0,NA,Master’s Degree,0,Stay in: Watch calming TV
259.0,20.0,Other,NA,NA,Play: Go shopping
3767.0,63.0,Transgender,Bachelor’s Degree,0,Explore: Go sightseeing
4326.0,45.0,Female,Master’s Degree,1,Explore: Hike
3430.0,26.0,Non-binary,Master’s Degree,1,Play: Go shopping
62.0,19.0,Non-binary,NA,0,Play: Visit a movie theater
3268.0,50.0,NA,Bachelor’s Degree,1,Play: Go shopping
140.0,19.0,Non-binary,NA,1,Play: Go shopping
1943.0,40.0,Non-binary,Master’s Degree,1,Play: Go shopping
648.0,86.0,Other,Master’s Degree,0,Stay in: Watch calming TV
4309.0,46.0,Male,Master’s Degree,1,Learn: Visit a library
84.0,22.0,NA,High School Grad,1,Play: Go shopping
104.0,23.0,Transgender,Other,1,Play: Visit a movie theater
3000.0,35.0,Male,Bachelor’s Degree,0,Stay in: Color
189.0,19.0,NA,Other,1,Play: Visit a movie theater
178.0,18.0,Female,Did Not Graduate HS,1,Play: Visit a movie theater
276.0,19.0,Female,Other,1,Play: Visit a movie theater
167.0,20.0,Transgender,High School Grad,1,Play: Go shopping
3528.0,59.0,Female,Bachelor’s Degree,1,Stay in: Color
3076.0,68.0,Male,Master’s Degree,1,Explore: Go sightseeing
222.0,19.0,Female,Did Not Graduate HS,1,Play: Go shopping
50.0,20.0,Other,High School Grad,NA,Play: Visit a movie theater
400.0,56.0,Non-binary,Master’s Degree,0,Play: Go shopping
27.0,21.0,Transgender,Did Not Graduate HS,0,Play: Visit a movie theater
